id;styling;pub_key;pub_key_fingerprint
1;../fake-data/blob/hipster.txt;value-added;PNG
2;../fake-data/blob/hipster.txt;interface Arkansas;Virginia
3;../fake-data/blob/hipster.txt;Corporate Concrete;action-items alarm Mobility
4;../fake-data/blob/hipster.txt;AGP Steel;Maine
5;../fake-data/blob/hipster.txt;Technician;Exclusive
6;../fake-data/blob/hipster.txt;SQL Hill;Gorgeous Mongolia
7;../fake-data/blob/hipster.txt;withdrawal;supply-chains
8;../fake-data/blob/hipster.txt;Practical asymmetric;real-time
9;../fake-data/blob/hipster.txt;Investment;Zimbabwe purple
10;../fake-data/blob/hipster.txt;Checking Central;User-centric Global Assurance
