id;text_type;body;styling
1;CSS Tasty;non-volatile Assurance Zloty;../fake-data/blob/hipster.txt
2;client-driven;enable Keyboard Rubber;../fake-data/blob/hipster.txt
3;Berkshire Chips transition;mobile;../fake-data/blob/hipster.txt
4;Loan back-end;circuit systematic Loan;../fake-data/blob/hipster.txt
5;e-commerce workforce compress;Finland Cambridgeshire;../fake-data/blob/hipster.txt
6;Hills Open-source Club;Investment;../fake-data/blob/hipster.txt
7;virtual;Account;../fake-data/blob/hipster.txt
8;Missouri Home payment;impactful;../fake-data/blob/hipster.txt
9;Iranian Shoes;optimal;../fake-data/blob/hipster.txt
10;area matrix;enable Bedfordshire;../fake-data/blob/hipster.txt
